timestamp,cpu_percent,cpu_count_logical,cpu_count_physical,ram_total_GB,ram_used_percent,ram_available_GB,swap_used_percent,disk_total_GB,disk_used_percent,disk_read_MB,disk_write_MB,net_sent_MB,net_recv_MB,battery_percent,battery_plugged,process_count
2026-01-11 00:33:39,6.9,32,24,31.71,45.9,17.15,0.2,930.5,64.3,0.096,0.0,0.0,0.001,100,True,332
2026-01-11 00:33:41,11.5,32,24,31.71,45.9,17.14,0.2,930.5,64.3,0.0,1.356,0.0,0.001,100,True,334
2026-01-11 00:33:42,11.3,32,24,31.71,45.9,17.14,0.2,930.5,64.3,0.0,0.0,0.0,0.001,100,True,332
2026-01-11 00:33:43,12.6,32,24,31.71,45.9,17.14,0.2,930.5,64.3,0.007,0.284,0.0,0.003,100,True,332
2026-01-11 00:33:44,9.4,32,24,31.71,45.9,17.14,0.2,930.5,64.3,0.0,0.167,0.0,0.005,100,True,332
2026-01-11 00:33:45,12.2,32,24,31.71,46.1,17.1,0.2,930.5,64.3,0.0,0.206,0.0,0.007,100,True,332
2026-01-11 00:33:46,13.2,32,24,31.71,46.3,17.01,0.2,930.5,64.3,0.0,0.109,0.0,0.004,100,True,332
2026-01-11 00:33:47,13.2,32,24,31.71,46.3,17.01,0.2,930.5,64.3,0.0,0.987,0.0,0.002,100,True,332
2026-01-11 00:33:48,12.4,32,24,31.71,46.3,17.01,0.2,930.5,64.3,0.0,0.235,0.001,0.005,100,True,331
2026-01-11 00:33:49,8.8,32,24,31.71,46.3,17.01,0.2,930.5,64.3,0.0,0.503,0.004,0.011,100,True,331
2026-01-11 00:33:50,9.1,32,24,31.71,46.3,17.02,0.2,930.5,64.3,0.0,0.0,0.0,0.004,100,True,331
2026-01-11 00:33:51,10.8,32,24,31.71,46.3,17.02,0.2,930.5,64.3,0.0,0.25,0.0,0.002,100,True,331
2026-01-11 00:33:52,12.6,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.0,0.411,0.0,0.002,100,True,333
2026-01-11 00:33:53,14.2,32,24,31.71,46.3,17.01,0.2,930.5,64.3,0.006,0.727,0.0,0.002,100,True,331
2026-01-11 00:33:54,11.1,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.0,0.008,0.002,100,True,331
2026-01-11 00:33:55,10.8,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.172,0.0,0.001,100,True,331
2026-01-11 00:33:56,15.6,32,24,31.71,46.2,17.06,0.2,930.5,64.3,0.0,0.623,0.001,0.008,100,True,331
2026-01-11 00:33:57,12.9,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.271,0.0,0.001,100,True,331
2026-01-11 00:33:58,12.3,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.0,0.0,0.003,100,True,331
2026-01-11 00:33:59,11.3,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.164,0.001,0.003,100,True,331
2026-01-11 00:34:00,10.1,32,24,31.71,46.2,17.05,0.2,930.5,64.3,0.0,0.523,0.001,0.023,100,True,332
2026-01-11 00:34:01,17.6,32,24,31.71,46.3,17.02,0.2,930.5,64.3,0.882,1.136,0.0,0.001,100,True,339
2026-01-11 00:34:02,23.7,32,24,31.71,46.4,16.99,0.2,930.5,64.3,0.174,0.004,0.0,0.0,100,True,341
2026-01-11 00:34:03,34.9,32,24,31.71,46.4,17.0,0.2,930.5,64.3,0.006,0.76,0.0,0.001,100,True,341
2026-01-11 00:34:04,30.2,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.0,4.023,0.038,0.019,100,True,341
2026-01-11 00:34:05,31.5,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.02,0.645,0.004,0.018,100,True,341
2026-01-11 00:34:06,33.1,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.0,0.109,0.0,0.0,100,True,341
2026-01-11 00:34:07,32.0,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.0,0.259,0.003,0.007,100,True,341
2026-01-11 00:34:08,32.4,32,24,31.71,46.4,17.01,0.2,930.5,64.3,0.0,0.163,0.0,0.001,100,True,341
2026-01-11 00:34:09,35.4,32,24,31.71,46.1,17.09,0.2,930.5,64.3,0.0,0.688,0.011,0.003,100,True,341
2026-01-11 00:34:10,37.3,32,24,31.71,45.5,17.27,0.2,930.5,64.3,0.062,4.5,0.006,0.016,100,True,341
2026-01-11 00:34:11,32.3,32,24,31.71,45.4,17.33,0.2,930.5,64.3,0.008,8.205,0.01,0.009,100,True,341
2026-01-11 00:34:12,33.2,32,24,31.71,45.4,17.33,0.2,930.5,64.3,0.0,0.345,0.003,0.005,100,True,341
2026-01-11 00:34:13,33.2,32,24,31.71,45.4,17.33,0.2,930.5,64.3,0.007,0.277,0.007,0.002,100,True,341
2026-01-11 00:34:14,32.3,32,24,31.71,45.4,17.33,0.2,930.5,64.3,0.0,0.188,0.012,0.013,100,True,343
2026-01-11 00:34:15,34.6,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,4.171,0.003,0.009,100,True,341
2026-01-11 00:34:16,31.1,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,2.764,0.003,0.012,100,True,341
2026-01-11 00:34:17,32.6,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,0.069,0.008,0.005,100,True,341
2026-01-11 00:34:18,32.6,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,0.156,0.013,0.012,100,True,341
2026-01-11 00:34:19,32.6,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,0.205,0.005,0.01,100,True,341
2026-01-11 00:34:20,30.6,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,0.225,0.0,0.006,100,True,341
2026-01-11 00:34:21,31.8,32,24,31.71,45.4,17.32,0.2,930.5,64.3,0.0,0.119,0.008,0.001,100,True,341
2026-01-11 00:34:22,31.9,32,24,31.71,45.4,17.31,0.2,930.5,64.3,0.0,0.152,0.003,0.012,100,True,341
2026-01-11 00:34:23,32.0,32,24,31.71,45.4,17.31,0.2,930.5,64.3,0.008,1.233,0.011,0.011,100,True,341
