timestamp,cpu_percent,cpu_count_logical,cpu_count_physical,ram_total_GB,ram_used_percent,ram_available_GB,swap_used_percent,disk_total_GB,disk_used_percent,disk_read_MB,disk_write_MB,net_sent_MB,net_recv_MB,battery_percent,battery_plugged,process_count
2025-10-11 02:30:32,22.6,32,24,31.71,61.5,12.2,2.2,930.5,97.5,0.0,6.57,0.007,0.001,100,True,386
2025-10-11 02:30:34,24.3,32,24,31.71,61.5,12.19,2.2,930.5,97.5,0.0,6.602,0.0,0.002,100,True,386
2025-10-11 02:30:35,23.5,32,24,31.71,61.5,12.2,2.2,930.5,97.5,0.0,13.289,0.0,0.001,100,True,386
2025-10-11 02:30:36,28.9,32,24,31.71,61.6,12.18,2.2,930.5,97.5,0.0,13.328,0.0,0.002,100,True,391
2025-10-11 02:30:37,35.9,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,6.849,0.0,0.004,100,True,399
2025-10-11 02:30:38,50.4,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,7.646,0.0,0.002,100,True,397
2025-10-11 02:30:39,50.3,32,24,31.71,61.8,12.11,2.2,930.5,97.5,0.0,7.726,0.0,0.004,100,True,397
2025-10-11 02:30:40,52.6,32,24,31.71,61.8,12.11,2.2,930.5,97.5,0.0,4.625,0.001,0.002,100,True,397
2025-10-11 02:30:41,50.3,32,24,31.71,61.8,12.11,2.2,930.5,97.5,0.0,7.835,0.0,0.001,100,True,397
2025-10-11 02:30:42,52.1,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.027,8.633,0.0,0.001,100,True,397
2025-10-11 02:30:43,52.2,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,8.633,0.0,0.002,100,True,397
2025-10-11 02:30:44,49.5,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,9.352,0.001,0.003,100,True,398
2025-10-11 02:30:45,54.1,32,24,31.71,61.8,12.13,2.2,930.5,97.5,0.0,6.829,0.0,0.004,100,True,397
2025-10-11 02:30:46,52.4,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.004,8.669,0.004,0.008,100,True,397
2025-10-11 02:30:47,51.4,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.0,7.669,0.0,0.002,100,True,397
2025-10-11 02:30:48,47.9,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,5.629,0.0,0.001,100,True,397
2025-10-11 02:30:49,53.1,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.029,0.0,0.002,100,True,399
2025-10-11 02:30:50,54.9,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.0,2.058,0.0,0.002,100,True,398
2025-10-11 02:30:51,57.2,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.092,1.323,0.033,0.002,100,True,398
2025-10-11 02:30:52,57.9,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.02,3.598,0.033,0.02,100,True,398
2025-10-11 02:30:53,62.0,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.031,7.284,0.001,0.002,100,True,398
2025-10-11 02:30:54,63.9,32,24,31.71,61.8,12.13,2.2,930.5,97.5,0.023,1.18,0.0,0.001,100,True,398
2025-10-11 02:30:55,58.4,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.012,3.096,0.0,0.0,100,True,398
2025-10-11 02:30:56,51.7,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,3.91,0.0,0.002,100,True,399
2025-10-11 02:30:57,45.5,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.167,0.0,0.001,100,True,397
2025-10-11 02:30:58,45.9,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.213,0.0,0.001,100,True,397
2025-10-11 02:30:59,48.1,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.135,0.0,0.002,100,True,397
2025-10-11 02:31:00,48.8,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.496,0.0,0.002,100,True,397
2025-10-11 02:31:01,49.7,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.023,0.115,0.0,0.004,100,True,397
2025-10-11 02:31:02,47.0,32,24,31.71,61.8,12.13,2.2,930.5,97.5,0.0,0.17,0.001,0.004,100,True,397
2025-10-11 02:31:04,50.7,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.294,0.001,0.005,100,True,399
2025-10-11 02:31:05,45.7,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.0,0.0,0.001,100,True,397
2025-10-11 02:31:06,43.9,32,24,31.71,61.8,12.12,2.2,930.5,97.5,0.0,0.146,0.003,0.002,100,True,397
2025-10-11 02:31:07,48.0,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.0,0.18,0.0,0.002,100,True,397
2025-10-11 02:31:08,48.8,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.062,0.083,0.0,0.001,100,True,397
2025-10-11 02:31:09,48.1,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.122,0.001,0.004,100,True,397
2025-10-11 02:31:10,50.5,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.0,0.0,0.001,0.004,100,True,397
2025-10-11 02:31:11,46.5,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.0,0.16,0.0,0.002,100,True,397
2025-10-11 02:31:12,46.4,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.043,0.0,0.002,100,True,397
2025-10-11 02:31:13,44.3,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.043,0.001,0.004,100,True,397
2025-10-11 02:31:14,50.3,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.031,0.0,0.002,100,True,397
2025-10-11 02:31:15,45.1,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.047,0.0,0.001,100,True,397
2025-10-11 02:31:16,45.7,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.0,0.036,0.0,0.002,100,True,399
2025-10-11 02:31:17,46.8,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.016,0.033,0.005,100,True,397
2025-10-11 02:31:18,51.4,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.0,0.0,0.038,0.026,100,True,397
2025-10-11 02:31:19,46.9,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.0,0.024,0.0,0.004,100,True,397
2025-10-11 02:31:20,43.8,32,24,31.71,61.7,12.13,2.2,930.5,97.5,0.0,0.061,0.001,0.006,100,True,397
2025-10-11 02:31:21,47.8,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.012,0.232,0.0,0.002,100,True,396
2025-10-11 02:31:22,52.4,32,24,31.71,61.7,12.15,2.2,930.5,97.5,0.059,0.0,0.0,0.002,100,True,396
2025-10-11 02:31:23,51.9,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.02,0.551,0.001,0.005,100,True,398
2025-10-11 02:31:24,53.3,32,24,31.71,61.7,12.14,2.2,930.5,97.5,0.047,0.267,0.0,0.004,100,True,398
