timestamp,event,detail
2025-10-11 02:30:35,start,cpu_spike | PID=19052 | python stressors\cpu_stress.py --procs 8 --duration 180
2025-10-11 02:31:24,start,cpu_spike | PID=26964 | python stressors\cpu_stress.py --procs 10 --duration 1200
2025-10-11 02:33:36,end,cpu_spike | PID=19052
2025-10-11 02:30:00,2025-10-11 02:35:00,cpu_spike,python stressors\cpu_stress.py --procs 4 --duration 300
2025-10-11 02:35:35,start,memory_load | PID=2592 | python stressors\mem_stress.py --step_mb 600 --steps 9 --sleep 10
2025-10-11 02:38:35,end,memory_load | PID=2592
2025-10-11 02:51:24,end,cpu_spike | PID=26964
2025-10-11 02:55:35,start,disk_io | PID=6872 | python stressors\disk_stress.py --size_mb 800 --block_mb 20
2025-10-11 02:56:06,start,cpu_spike | PID=39664 | python stressors\cpu_stress.py --procs 10 --duration 600
2025-10-11 02:58:35,end,disk_io | PID=6872
2025-10-11 02:58:49,start,disk_io | PID=39592 | python stressors\disk_stress.py --size_mb 2000 --block_mb 5
2025-10-11 02:59:33,start,memory_load | PID=14788 | python stressors\mem_stress.py --step_mb 300 --steps 12 --sleep 10
2025-10-11 03:01:49,end,disk_io | PID=39592
2025-10-11 03:02:33,start,disk_io | PID=34648 | python stressors\disk_stress.py --size_mb 1500 --block_mb 10
2025-10-11 03:06:06,end,cpu_spike | PID=39664
2025-10-11 03:07:33,end,disk_io | PID=34648
2025-10-11 03:09:33,end,memory_load | PID=14788
2025-10-11 03:22:33,start,cpu_spike | PID=39040 | python stressors\cpu_stress.py --procs 8 --duration 600
2025-10-11 03:22:33,start,cpu_spike | PID=21160 | python stressors\cpu_stress.py --procs 10 --duration 900
2025-10-11 03:23:33,start,cpu_spike | PID=18360 | python stressors\cpu_stress.py --procs 6 --duration 900
2025-10-11 03:32:33,end,cpu_spike | PID=39040
2025-10-11 03:33:33,start,disk_io | PID=27516 | python stressors\disk_stress.py --size_mb 1000 --block_mb 10
2025-10-11 03:36:19,start,cpu_spike | PID=20080 | python stressors\cpu_stress.py --procs 10 --duration 600
2025-10-11 03:37:33,end,cpu_spike | PID=21160
2025-10-11 03:38:33,end,cpu_spike | PID=18360
2025-10-11 03:38:33,end,disk_io | PID=27516
2025-10-11 03:46:19,end,cpu_spike | PID=20080
2025-10-11 03:51:19,start,cpu_spike | PID=42472 | python stressors\cpu_stress.py --procs 6 --duration 300
2025-10-11 03:56:19,end,cpu_spike | PID=42472
